제목,설명,한글
착공(着工),공사를 시작함.,치읓
착란(錯亂),어지럽고 어수선함.,치읓
착륙(着陸),비행기 따위가 공중에서 활주로나 평평한 곳에 내림.,치읓
착복(着服),남의 재물을 부당하게 자기 것으로 함.,치읓
착수(着手),어떤 일에 손을 댐.,치읓
착실하다(着實-),사람이 한결같이 성실하다.,치읓
착오(錯誤),착각을 하여 잘못함.,치읓
착취(搾取),"자원이나 재산, 노동력 따위를 빼앗음.",치읓
착하다,언행이나 마음씨가 곱고 바르며 어질다.,치읓
찬란하다(燦爛-),빛깔이나 모양 따위가 매우 화려하고 아름답다.,치읓
찬사(讚辭),칭찬하거나 찬양하는 말이나 글.,치읓
찬성(贊成),"어떤 행동이나 견해, 제안 따위가 옳거나 좋다고 판단하여 수긍함.",치읓
찬송(讚頌),기독교에서 하나님의 은혜를 기리어 노래함.,치읓
찬송가(讚頌歌),찬송가를 모아 엮은 책.,치읓
찬스(chance),무슨 일을 하기에 알맞은 때.,치읓
찬양(讚揚),아름답고 훌륭함을 크게 기리고 드러냄.,치읓
찬장(饌欌),음식이나 그릇 따위를 넣어 두는 장.,치읓
찬조(贊助),어떤 일의 뜻에 찬동하여 도와줌.,치읓
찰나(刹那),매우 짧은 시간.,치읓
참,사실이나 이치에 조금도 어긋남이 없는 것. 또는 사실이나 이치에 조금도 어긋남이 없이 과연.,치읓
참가(參加),모임이나 단체 또는 일에 관계하여 들어감.,치읓
참견(參見),남의 일이나 얘기에 공연히 끼어들어 아는 체하거나 간섭함.,치읓
참고(參考¹),살펴서 생각함.,치읓
참고(參考²),살펴서 도움이 될 만한 재료로 삼음.,치읓
참관(參觀),어떤 자리에 직접 나아가서 봄.,치읓
참기름,참깨로 짠 기름.,치읓
참깨,볶아서 양념으로 쓰거나 기름을 짜는데 쓰이는 작고 하얀 씨.,치읓
참나무,"도토리가 열리고, 잎이 크고 길며 목재로 쓰는 나무.",치읓
참다,"충동, 감정 따위를 억누르고 다스리다.",치읓
참말,사실과 조금도 틀림이 없는 말.,치읓
참모(參謀),"우두머리의 측근에서 활동하는, 지모",치읓
참배(參拜),"신이나 부처에게 절을 하거나 무덤, 묘비 앞에서 추모의 뜻을 나타냄.",치읓
참변(慘變),뜻밖에 당하는 끔찍하고 비참한 재앙이나 사고.,치읓
참새,배는 연한 잿빛이며 등은 검은 갈색이고 인가의 지붕에 사는 작은 새.,치읓
참석(參席),모임이나 회의 따위의 자리에 참여함.,치읓
참선 (參禪),불교에서 조용히 앉아 고요한 경지에 이르기 위하여 불도를 닦음.,치읓
참외,색이 노랗고 길며 둥글고 맛이 달콤한 열매.,치읓
참작(參酌),이리저리 비추어 보아서 알맞게 고려함.,치읓
참패(慘敗),싸움이나 경기 따위에서 참혹할 만큼 크게 패배하거나 실패함.,치읓
참호(塹壕),적의 공격을 막기 위해 좁고 길게 파 놓은 구덩이.,치읓
참혹(慘酷),비참하고 끔찍함.,치읓
참회(懺悔),부처나 신 앞에서 자기의 잘못을 뉘우쳐 용서를 빎.,치읓
찹쌀,보통 쌀보다 찰기가 있는 쌀.,치읓
창(窓),창문,치읓
창(槍),① 창던지기에 쓰이는 기구. ② 옛날 무기의 하나.,치읓
창건(創建),건물이나 조직체 따위를 처음으로 세우거나 이룩함.,치읓
창고(倉庫),물건이나 자재를 저장하거나 보관하는 건물.,치읓
창공(蒼空),푸른 하늘.,치읓
창구(窓口),창을 통해 사람과 응대하고 돈의 출납 등 사무를 보는 곳.,치읓
창녀(娼女),돈을 받고 몸을 파는 일을 직업으로 하는 여자.,치읓
창립(創立),기관이나 단체 따위를 새로 만들어 세움.,치읓
창문(窓門),"공기나 햇빛을 받을 수 있고, 밖을 내다볼 수 있도록 벽이나 지붕에 낸 작은 문.",치읓
창백하다(蒼白-),얼굴빛이나 살빛이 핏기가 없고 푸른 기가 돌 만큼 해쓱하다.,치읓
창살(窓-),창이나 문에 가로·세로로 댄 문살.,치읓
창설(創設),기관이나 단체 따위를 처음으로 설치하거나 설립함.,치읓
창안(創案),"어떤 방안, 물건 따위를 처음으로 생각하여 냄.",치읓
창원(昌原),경상남도 남쪽에 있는 공업 도시.,치읓
창의(創意),새로운 의견을 생각하여 냄.,치읓
창자,큰창자와 작은창자를 통틀어 이르는 말.,치읓
창작(創作),방안이나 물건 따위를 처음으로 만들어 냄.,치읓
창조(創造),전에 없던 것을 처음으로 만듦.,치읓
창피(猖披),어떤 일이나 사실로 인하여 몹시 부끄럽다.,치읓
창호지(窓戶紙),주로 문을 바르는 데 쓰는 얇은 종이.,치읓
찾다,현재 주변에 없는 것을 얻거나 사람을 만나려고 여기저기를 뒤지거나 살피다.,치읓
채굴(採掘),땅을 파고 땅속에 묻혀 있는 광물 따위를 캐냄.,치읓
채비,"어떤 일을 하기 위하여 필요한 물건, 자세 따위를 미리 갖추어 차림.",치읓
채소(菜蔬),밭에서 기르는 농작물.,치읓
채용(採用),사람을 골라서 씀.,치읓
채우다,비어 있는 곳에 넣어 가득차게 하다.,치읓
채점(採點),시험 답안의 맞고 틀림을 살피어 점수를 매김.,치읓
채집(採集),널리 찾아서 얻거나 캐거나 잡아 모으는 일.,치읓
채찍,마소를 모는 물건.,치읓
채택(採擇),"작품, 의견, 제도 따위를 골라서 다루거나 뽑아 씀.",치읓
책(冊),"글, 그림 따위를 인쇄한 종이를 겹쳐 묶은 것.",치읓
책꽂이,책을 세워서 꽂아 두는 물건이나 장치.,치읓
책망(責望),잘못을 꾸짖거나 나무라며 못마땅하게 여김.,치읓
책상(冊床),앉아서 책을 읽거나 글을 쓰거나 사무를 보거나 할 때에 앞에 놓고 쓰는 상.,치읓
책임(責任),맡아서 해야 할 임무나 의무.,치읓
책임자(責任者),어떤 일이나 분야에서 책임을 질 만한 자리에 있는 사람.,치읓
ㅋ [ㅋ],한글 자모의 열한째 글자.,키읔
카드(card),고객의 신분과 계좌를 확인해주는 플라스틱 조각.,키읔
카메라(camera),사진을 찍는 기계.,키읔
카메룬(Cameroon),아프리카 서부 기니 만에 면한 연방제 공화국.,키읔
카스텔라(프 castella),"밀가루에 설탕, 달걀, 물엿 따위를 넣고 반죽하여 오븐에 구운 빵.",키읔
카자흐스탄(Kazakhstan),"카스피해 북동쪽, 중앙아시아의 스텝 지대에 있는 공화국.",키읔
카지노(이 casino),"춤, 음악 따위의 오락 시설을 갖춘 공인 도박장.",키읔
칼,물건을 베거나 썰거나 깎는 데 쓰는 도구.,키읔
칼싸움,칼이나 칼 모양의 것으로 하는 싸움.,키읔
캄보디아(Cambodia),동남아시아의 인도차이나 반도 동남부에 있는 공화국.,키읔
캄캄하다,몹시 어둡다.,키읔
캐나다(Canada),"북아메리카 대륙 북부에 있는, 영국 연방 내의 연방 국가.",키읔
캐다,묻힌 것을 파내다.,키읔
캐어묻다,깊이 파고들어 묻다.,키읔
캠퍼스(campus),대학이나 그 밖의 학교의 교정 또는 구내.,키읔
캠핑(camping),산이나 들 또는 바닷가 따위에서 텐트를 치고 야영하는 일.,키읔
캥거루(kangaroo),몸은 담회색이며 앞다리는 짧고 뒷다리는 길어서 잘 뛰는 초식성 동물.,키읔
커녕,어떤 사실을 부정하는 것은 물론 그보다 덜하거나 못한 것까지 부정하는 뜻을 나타내는 보조사.,키읔
커닝(cunning),시험을 칠 때 감독자 몰래 미리 준비한 답을 보고 쓰거나 남의 것을 베끼는 일.,키읔
커브(curve),길이나 선 따위의 굽은 부분.,키읔
커지다,크게 되다.,키읔
커튼(curtain),창이나 문에 치는 휘장.,키읔
커피(coffee),"독특한 향기가 나며 물에 끓여 차로 마시는, 커피나무 열매를 볶아서 간 가루.",키읔
컨디션(condition),몸의 건강이나 기분 따위의 상태.,키읔
컴퍼스(compass),자유롭게 폈다 오므렸다 할 수 있는 두 다리를 가진 제도용 기구.,키읔
컴퓨터(computer),전자 회로를 이용한 고속의 자동 계산기.,키읔
컵(cup),물이나 음료 따위를 따라 마시려고 만든 그릇.,키읔
케냐(Kenya),"아프리카 동부, 적도 바로 아래에 있는 공화국.",키읔
케이블카(cable car),경사가 급한 사면을 따라서 부설된 레일 위에 강철로 꼬아 만든 케이블을 감아 올리는 기계로 차량을 운전하여 승객이나 화물을 운반하는 철도.,키읔
케이오(KO),녹아웃,키읔
켜다¹,양초 따위에 성냥 따위로 불을 일으키다.,키읔
켜다²,전등 따위에 불을 밝히다.,키읔
코,포유류의 얼굴 중앙에 있으며 냄새를 맡고 숨을 쉬는 기관.,키읔
코끼리,살가죽은 회색으로 두꺼우며 긴 코와 상아를 가진 육지에서 가장 큰 동물.,키읔
코러스(chorus),합창,키읔
코를 풀다,,키읔
코미디(comedy),희극.,키읔
코뿔소,"콧등에 뿔이 있는, 주로 열대 지방의 습지에 사는 동물.",키읔
코스(course),어떤 목적에 따라 정하여진 길.,키읔
코스모스(cosmos),높이가 1～2미터이고 주로 가을에 여러 빛깔로 꽃을 피우는 식물.,키읔
코스타리카(Costa Rica),중앙아메리카 남쪽에 있는 공화국.,키읔
코치(coach),지도하여 가르침.,키읔
코트(coat),추위를 막기 위하여 겉옷 위에 입는 옷.,키읔
콘크리트(concrete),"시멘트에 모래와 자갈, 골재 따위를 적당히 섞고 물에 반죽한 혼합물.",키읔
콜라(cola),콜라나무의 종자와 코카의 잎을 주원료로 사용하여 만드는 청량음료.,키읔
콜레라(cholera),콜레라균에 의하여 일어나는 소화기 계통의 전염병.,키읔
콜롬비아(Colombia),남아메리카 대륙의 북서부에 있는 공화국.,키읔
콧물,콧구멍에서 흘러나오는 액체.,키읔
콩,"노랗거나 까만빛을 띠며 콩나물, 두부, 된장의 재료가 되는 곡물.",키읔
콩고(Congo),아프리카 중부 대서양 연안에 있는 인민 공화국.,키읔
콩나물,콩을 시루 따위의 그릇에 담아 그늘에 두고 물을 주어 자라게 한 것.,키읔
쾌감(快感),상쾌하고 즐거운 느낌.,키읔
쾌락(快樂),유쾌하고 즐거움.,키읔
쾌적하다(快適-),기분이 상쾌하고 즐겁다.,키읔
쾌활하다(快活-),명랑하고 활발하다.,키읔
쿠데타,무력으로 정권을 빼앗는 일.,키읔
쿠바(Cuba),중앙아메리카 서인도 제도 가운데 가장 큰 섬인 쿠바 섬과 그 주변의 섬으로 이루어진 사회주의 공화국.,키읔
쿠웨이트(Kuwait),"아라비아 반도 동북부, 페르시아 만에 면한 입헌 군주국.",키읔
쿵,?? 크고 무거운 물건이 바닥이나 물체 위에 떨어지거나 부딪쳐 나는 소리.,키읔
퀴즈(quiz),어떤 질문에 대한 답을 알아맞히는 놀이 또는 그 질문을 통틀어 이르는 말.,키읔
크다,"사람이나 사물의 외형적 길이, 넓이, 높이, 부피 따위가 보통 정도를 넘다.",키읔
크레파스(kurepasu),크레용과 파스텔의 특색을 따서 만든 막대기 모양의 물감.,키읔
크로아티아(Croatia),"유럽 남동부, 발칸 반도 북서부에 있는 공화국.",키읔
크리스마스(Christmas),예수의 탄생을 기념하는 날로 매년 12월 25일.,키읔
크림(cream),피부나 머리 손질에 쓰는 기초화장품.,키읔
큰아버지,둘 이상의 아버지의 형 가운데 맏이가 되는 형.,키읔
큰어머니,아버지 맏형의 아내를 이르는 말.,키읔
클라이맥스(climax),"흥분, 긴장 따위가 가장 높은 정도에 이른 상태.",키읔
클랙슨(Klaxon),자동차의 경적.,키읔
키,사람이나 동물이 똑바로 섰을 때에 발바닥에서 머리끝에 이르는 몸의 길이.,키읔
키가 크다,,키읔
키스(kiss),서로 입을 맞춤.,키읔
키우다,자라게 하다.,키읔
킬로그램(kilogram),미터법의 질량의 기본 단위로 1그램의 1000배.,키읔
킬로미터(kilometer),미터법의 길이의 기본 단위로 1미터의 1000배.,키읔
ㅌ [티읕],한글 자모의 열두째 글자.,티읕
타개(打開),매우 어렵거나 막힌 일을 잘 처리하여 해결의 길을 엶.,티읕
타결(妥結),두 편이 서로 좋도록 협의·절충하여 일을 마무름. 또는 그 일.,티읕
타다¹,불씨나 높은 열로 불이 붙어 번지거나 불꽃이 일어나다.,티읕
타다²,물기가 없어 바싹 마르다.,티읕
타다³,탈것이나 짐승의 등 따위에 몸을 얹다.,티읕
타당하다(妥當-),일의 이치로 보아 옳다.,티읕
타락(墮落),올바른 길에서 벗어나 잘못된 길로 빠지는 일.,티읕
타이르다,잘 깨닫도록 일의 이치를 밝혀 말해 주다.,티읕
타자(打者),"야구에서, 상대편 투수의 공을 치는 공격진의 선수. 타수.",티읕
타작(打作),곡식의 이삭을 떨어서 낟알을 거두는 일.,티읕
타조(駝鳥),머리는 작고 눈은 크고 다리가 길지만 날지 못하는 큰 새.,티읕
탁구(卓球),나무로 만든 대(臺)의 가운데에 네트를 치고 라켓으로 공을 쳐 넘겨 승부를 겨루는 구기 경기.,티읕
탁월하다(卓越-),남보다 두드러지게 뛰어나다.,티읕
탄광(炭鑛),석탄을 캐내는 광산.,티읕
탄력(彈力),용수철처럼 튀거나 팽팽하게 버티는 힘.,티읕
탄로(綻露),숨긴 일이 드러남.,티읕
탄복(歎服),매우 감탄하여 마음으로 따름.,티읕
탄생(誕生),성인(聖人) 또는 귀인이 태어남을 높여 이르는 말.,티읕
탄식(歎息),한탄하여 한숨을 쉼.,티읕
탄압(彈壓),권력이나 무력 따위로 억지로 눌러 꼼짝 못하게 함.,티읕
탄원(歎願),사정을 하소연하여 도와주기를 간절히 바람.,티읕
탄자니아(Tanzania),"아프리카 대륙 동부, 인도양에 면하여 있는 연합 공화국.",티읕
탈,"얼굴을 감추거나 달리 꾸미기 위하여 나무, 종이, 흙 따위로 만들어 얼굴에 쓰는 물건.",티읕
탈곡(脫穀),곡식의 낱알을 이삭에서 털어냄.,티읕
탈곡기(脫穀機),"벼, 보리 따위의 이삭에서 낱알을 떨어내는 농기계.",티읕
탈색(脫色),섬유 제품 따위에 들어 있는 색깔을 뺌.,티읕
탈선(脫線),기차나 전차 따위의 바퀴가 선로를 벗어남.,티읕
탈영(脫營),군인이 자기가 속한 병영에서 무단으로 빠져나와 도망함.,티읕
탈옥(脫獄),죄수가 감옥에서 빠져나와 달아남.,티읕
탈퇴(脫退),관계를 끊고 물러남.,티읕
탈환(奪還),빼앗겼던 것을 도로 빼앗아 찾음.,티읕
탐구(探究),"진리, 학문 따위를 파고들어 깊이 연구함.",티읕
탐닉(耽溺),어떤 일을 지나치게 즐겨 거기에 빠짐.,티읕
탐독(耽讀),어떤 글이나 책 따위를 열중하여 읽음.,티읕
탐색(探索),드러나지 않은 사물이나 현상 따위를 찾아내거나 밝히기 위하여 살피어 찾음.,티읕
탐욕(貪慾),지나치게 탐하는 욕심.,티읕
탐험(探險),위험을 무릅쓰고 어떤 곳을 찾아가서 살펴보고 조사함.,티읕
탑(塔),여러 층으로 또는 높고 뾰족하게 세운 건축물을 통틀어 이르는 말.,티읕
탓,주로 부정적인 현상이 생겨난 까닭이나 원인.,티읕
탕진(蕩盡),재물 따위를 다 써서 없앰.,티읕
태국(泰國 ← Thailand),인도차이나 반도 가운데에 있는 입헌 군주국.,티읕
태권도(跆拳道),맨손과 맨발로 공격하거나 방어하는 한국의 무술.,티읕
태극기(太極旗),대한민국의 국기.,티읕
태도(態度),몸과 마음을 가지는 모양.,티읕
태만(怠慢),열심히 하려는 마음이 없고 게으름.,티읕
태산(泰山),높고 큰 산.,티읕
태양(太陽),태양계의 중심이 되는 행성.,티읕
태어나다(胎),사람이나 동물이 형태를 갖추어 어미의 태(胎)로부터 세상에 나오다.,티읕
태연자약(泰然自若),마음에 어떠한 충동을 받아도 동작이 없이 천연스러움.,티읕
태초(太初),하늘과 땅이 생겨난 맨 처음.,티읕
태평양(太平洋),오대양의 하나.,티읕
태풍(颱風),심한 열대성 저기압에 의하여 서남 태평양에 생기는 매우 센 바람.,티읕
택배(宅配),"우편물이나 짐, 상품 따위를 요구하는 장소까지 직접 배달해 주는 일.",티읕
택시(taxi),요금을 받고 손님이 원하는 곳까지 태워다 주는 영업용 승용차.,티읕
택하다,여럿 가운데서 고르다.,티읕
탱크(tank),전차.,티읕
터,집이나 건물을 지었거나 지을 자리.,티읕
터널(tunnel),"산, 바다, 강 따위의 밑을 뚫어 만든 철도나 도로 따위의 통로.",티읕
터득(攄得),깊이 생각하여 이치를 깨달아 알아냄.,티읕
터뜨리다,터지게 하다.,티읕
터미널(terminal),"항공, 열차, 버스 노선 따위의 맨 끝 지점.",티읕
터전,살림의 근거지가 되는 곳.,티읕
터지다,안이 가득차서 겉이 찢어지다.,티읕
터키(Turkey),"아시아의 서쪽 끝, 유럽의 동남쪽에 있는 공화국.",티읕
턱¹,사람의 입 아래에 있는 뾰족하게 나온 부분.,티읕
턱²,좋은 일이 있을 때에 남에게 베푸는 음식 대접.,티읕
털,사람이나 동물의 피부에 나는 가느다란 실 모양의 것.,티읕
털다,"달려 있는 것, 붙어 있는 것 따위가 떨어지게 흔들거나 치거나 하다.",티읕
테이프(tape),종이나 헝겊 따위로 만든 얇고 긴 띠 모양의 오라기.,티읕
텔레비전(television),사물의 광학적인 상을 전파에 실어 보내어 수신 장치에 재현하는 전기 통신 방식.,티읕
토끼,귀는 길고 꼬리는 짧은 앞발이 짧고 뒷발이 긴 짐승.,티읕
토너먼트(tournament),"운동 경기 따위에서, 시합 때마다 패자는 떨어져 나가고 마지막에 남은 두 사람(팀)으로 하여금 우승을 겨루게 하는 방식.",티읕
토라지다,마음에 들지 아니하고 뒤틀리어서 싹 돌아서다.,티읕
토론(討論),어떤 문제에 대하여 여러 사람이 각각 의견을 말하며 논의함.,티읕
토마토(tomato),둥글넓적하며 즙이 많아 케첩과 주스의 재료가 되는 열매.,티읕
토스트(toast),식빵을 얇게 썰어 양쪽을 살짝 구운 식빵.,티읕
토요일(土曜日),월요일을 기준으로 한 주의 여섯째 날.,티읕
토의(討議),어떤 문제에 대하여 검토하고 협의함.,티읕
토지(土地),사람의 생활과 활동에 이용하는 땅.,티읕
토질(土質),흙의 성질.,티읕
토하다(吐-),먹은 것을 입 밖으로 쏟아내다.,티읕
톤(ton),무게의 단위.,티읕
톱,나무나 쇠붙이 따위를 자르거나 켜는 데 쓰는 연장.,티읕
통(桶),"무엇을 담기 위하여 나무나 쇠, 플라스틱 따위로 깊게 만든 그릇.",티읕
통계(統計),어떤 사실이나 사물의 수나 횟수를 모두 합한 수치.,티읕
통고(通告),서면(書面)이나 말로 소식을 전하여 알림.,티읕
통곡(痛哭),소리를 높여 슬피 욺.,티읕
통과¹(通過),제출된 의안이나 청원 따위가 담당 기관이나 회의에서 승인되거나 가결됨.,티읕
통과²(通過),통하여 지나감.,티읕
통솔(統率),무리를 거느려 다스림.,티읕
통신(通信),"우편이나 전신, 전화 따위로 정보나 의사를 전달함.",티읕
통역(通譯),언어가 서로 다른 사람 사이에서 뜻이 통하도록 말을 옮겨 줌.,티읕
통일(統一),갈라지거나 나누어진 것을 하나로 만듦.,티읕
통일부(統一部),"중앙 행정 기관의 하나. 통일 및 남북 대화·교류·협력에 관한 정책의 수립, 통일 교육 등에 관한 사무를 맡아봄.",티읕
통장(通帳),"금융 기관에서, 예금한 사람에게 출납의 상태를 적어 주는 장부.",티읕
통조림,고기나 과일 따위의 식료품을 양철통에 넣고 가열·살균한 뒤 밀봉하여 오래 보존할 수 있도록 한 식품.,티읕
통치(統治),나라나 지역을 도맡아 다스림.,티읕
통풍(通風),바람이 통함.,티읕
통하다(通-),마음 또는 의사나 말 따위가 다른 사람과 소통되다.,티읕
통학(通學),기숙사가 아닌 집에서 학교까지 다님.,티읕
통합(統合),둘 이상의 조직이나 기구 따위를 하나로 합침.,티읕
통행(通行),일정한 장소를 지나다님.,티읕
통화(通話),전화로 말을 주고받음.,티읕
퇴근(退勤),일터에서 근무를 마치고 돌아가거나 돌아옴.,티읕
퇴보(退步),정도나 수준이 이제까지의 상태보다 뒤떨어지거나 못하게 됨.,티읕
퇴비(堆肥),"짚, 풀 따위를 썩혀서 만든 거름.",티읕
퇴원(退院),일정 기간 병원에 머물던 환자가 병원에서 나옴.,티읕
퇴장¹(退場),어떤 장소에서 물러남.,티읕
퇴장²(退場),경기 도중 반칙 따위로 경기장에서 물러남.,티읕
ㅍ [피읖],한글 자모의 열셋째 글자.,피읖
파,푸른 잎이 대롱 모양으로 된 독특한 냄새와 맛이 나는 채소.,피읖
파견(派遣),일정한 임무를 주어 사람을 보냄.,피읖
파괴(破壞),때려 부수거나 깨뜨려 헐어 버림.,피읖
파급(波及),어떤 일의 여파나 영향이 차차 다른 데로 미침.,피읖
파나마(Panama),중앙아메리카의 파나마 지협(地峽)에 있는 공화국.,피읖
파다,구멍이나 구덩이를 만들다.,피읖
파도(波濤),바다에 이는 물결.,피읖
파라과이(Paraguay),남아메리카 중남부에 있는 나라.,피읖
파라솔(프 parasol),"해변이나 강변 따위에서, 햇빛을 가리거나 탁자 위를 가릴 수 있도록 쳐 놓는 커다란 양산.",피읖
파랑,파란 빛깔이나 물감.,피읖
파랗다,"맑은 가을 하늘이나 깊은 바다, 새싹과 같이 밝고 선명하게 푸르다.",피읖
파리,주로 음식물이나 더러운 물질에 몰려들며 전염병을 옮기는 작은 곤충.,피읖
파면(罷免),잘못을 저지른 사람에게 직무나 직업을 그만두게 함.,피읖
파묻다,땅을 파고 무엇을 묻다.,피읖
파손(破損),깨어져 못 쓰게 됨.,피읖
파악(把握),어떤 대상의 내용이나 본질을 확실하게 앎.,피읖
파업(罷業),노동자들이 정부나 경영주에게 요구를 제기하고 관철하기 위해 작업을 중지함.,피읖
파출소(派出所),경찰서의 관할 지역 안에 있는 동(洞)마다 경찰관을 파견하여 경찰 업무를 일차적으로 처리하도록 만든 곳. 지구대.,피읖
파키스탄(Pakistan),인도 반도 북서부에 있는 공화국.,피읖
파티(party),친목을 도모하거나 무엇을 기념하기 위한 잔치나 모임.,피읖
파하다(罷-),어떤 일을 마치거나 그만두다.,피읖
판결(判決),시비나 선악을 판단하여 결정함.,피읖
판단(判斷),사물을 인식하여 논리나 기준 등에 따라 판정을 내림.,피읖
판매(販賣),상품 따위를 팖.,피읖
판사(判事),대법원을 제외한 각급 법원의 법관.,피읖
판이하다(判異-),"비교 대상의 성질이나 모양, 상태 따위가 아주 다르다.",피읖
팔(八),여덟.,피읖
팔,어깨와 손목 사이의 부분.,피읖
팔다,값을 받고 물건이나 권리 따위를 남에게 넘기거나 노력 따위를 제공하다.,피읖
팔레스타인(Palestine),"아시아 서쪽, 지중해 남동쪽 기슭에 있는 지방.",피읖
팔십(八十),십의 여덟 배가 되는 수. 여든.,피읖
팔월(八月),일년 중의 여덟째 달.,피읖
팔자(八字),사람의 한 평생의 운수.,피읖
팔짱,나란히 있는 두 사람 중 한 사람이 옆 사람의 팔에 자신의 팔을 끼는 일.,피읖
팔찌,여자의 팔에 끼는 장신구.,피읖
팥,주로 쌀에 섞어 밥을 짓거나 떡 고물로 쓰이는 자줏빛의 곡식.,피읖
패다,도끼로 장작 따위를 쪼개다.,피읖
패물(佩物),"사람의 몸치장으로 차는, 귀금속 따위로 만든 장식물.",피읖
패배(敗北),싸움이나 경쟁에서 짐.,피읖
패션(fashion),특정한 시기에 유행하는 복식의 일정한 형식.,피읖
팩스(fax),문서·도표·사진 따위의 화상을 원거리에 전송하는 전기 통신 방식.팩시밀리(facsimile).,피읖
팬티(panties),아랫도리에 입는 짧은 속옷.,피읖
팽이,둥글고 짧은 나무의 한쪽 끝을 뾰족하게 깎아서 쇠구슬 따위의 심을 박아 만든 아이들의 장난감.,피읖
팽창(膨脹),부피나 수량이 본디의 상태보다 커짐.,피읖
팽팽하다,줄이나 끈이 늘어지지 않고 힘껏 당겨져 있다. 시위.,피읖
퍼뜨리다,널리 퍼지게 하다.,피읖
퍼센트(percent),백분율을 나타내는 단위.,피읖
퍼지다,어떤 물질이나 현상 따위가 넓은 범위에 미치다.,피읖
퍽,보통 정도를 훨씬 넘게.,피읖
펌프(pump),사람이 손잡이를 상하로 되풀이하여 동작으로써 그 압력에 의하여 땅속에 수직으로 박혀 있는 관을 통하여 지하수가 땅 위로 나오도록 하는 기구.,피읖
페널티킥(penalty kick),"축구에서, 페널티 에어리어 안에서 방어 측이 반칙하였을 때 상대측에게 주어지는 킥.",피읖
페달(pedal),발로 밟거나 눌러서 기계류를 작동시키는 부품.,피읖
페루(Peru),남아메리카 서북부 태평양 연안에 있는 공화국.,피읖
페이지(page),책이나 장부 따위의 한쪽 면,피읖
펜(pen),펜촉에 펜대를 끼워서 글씨를 쓰는 기구의 하나.,피읖
펜싱(fencing),"철망으로 된 마스크를 쓰고 검을 쥔 두 명의 경기자가, 마루 위에서 서로 찌르거나 베는 방법으로 득점을 얻어 승부를 겨루는 경기.",피읖
펭귄(penguin),머리와 등이 검고 배가 희며 날지 못하고 서서 걷는 남극 지방의 새.,피읖
펴다¹,접히거나 개킨 것을 젖히어 벌리다.,피읖
펴다²,굽은 것을 곧게 하다.,피읖
펴다³,어둡거나 우울한 기운이나 표정을 없애다.,피읖
편리(便利),편하고 이로우며 이용하기 쉬움.,피읖
편물(編物),‘뜨개질’을 전문적으로 이르는 말.,피읖
편안(便安),편하고 걱정 없이 좋음.,피읖
편의(便宜),형편이나 조건 따위가 편하고 좋음.,피읖
편지(便紙),"안부, 소식, 용무 따위를 적어 보내는 글.",피읖
편집(編輯),"영화 필름이나 녹음테이프, 문서 따위를 하나의 작품으로 완성하는 일.",피읖
편하다(便-),몸이나 마음이 거북하거나 괴롭지 아니하여 좋다.,피읖
평가(評價),사물의 가치나 수준 따위를 평함.,피읖
평균(平均),여러 사물의 질이나 양 따위를 고르게 한 분량이나 그 값.,피읖
평등(平等),"권리, 의무, 자격 등이 차별 없이 고르고 똑같음.",피읖
평면도(平面圖),투영법에 의하여 입체를 수평면 상에 투영하여 그린 도형.,피읖
평범(平凡),뛰어나거나 색다른 점이 없이 보통임.,피읖
평상시(平常時),보통 때.평상시에.,피읖
평생(平生),어떠한 계획이나 자격이 일생 동안 지속됨.평생을. 평생토록.,피읖
평소(平素),보통 때.,피읖
평신도(平信徒),기독교에서 성직자가 아닌 일반 신자.,피읖
평안남도(平安南道),우리나라 북서부에 있는 도.,피읖
평안북도(平安北道),우리나라 북서부에 있는 도.,피읖
평야(平野),"기복이 매우 작고, 지표면이 평평하고 너른 들.",피읖
평양(平壤),평안남도 남서쪽에 있는 도시.,피읖
평일(平日),휴일이나 기념일이 아닌 보통의 날.,피읖
평지(平地),바닥이 평평한 땅.,피읖
평행봉(平行棒),네 개의 기둥 위에 두 개의 대를 가로놓은 체조 기구.,피읖
평화(平和),"전쟁, 분쟁 또는 일체의 갈등이 없이 평온함.",피읖
폐결핵(肺結核),폐에 결핵균이 침입하여 생기는 만성 전염병.,피읖
폐단(弊端),옳지 못한 일이나 해로운 일.,피읖
폐렴(肺炎),폐에 생기는 염증.,피읖
폐막(閉幕),행사가 끝남.,피읖
폐백(幣帛),신부가 처음으로 시부모를 뵐 때 큰절을 하고 올리는 물건.,피읖
폐병(肺病),폐의 질병의 총칭. ‘폐결핵’을 일상적으로 이르는 말.,피읖
폐수(廢水),공장이나 광산 등지에서 쓰고 난 뒤에 버리는 더러운 물.,피읖
폐업(閉業),문을 닫고 영업을 쉼.,피읖
폐지(廢止),"실시하여 오던 제도나 법규, 일 따위를 그만두거나 없앰.",피읖
폐허(廢墟),건물이나 성 따위가 파괴되어 황폐하게 된 터.,피읖
폐회(閉會),집회나 회의가 끝남.,피읖
포개다,무엇을 다른 것 위에 얹어 겹쳐지게 하다.,피읖
포격(砲擊),대포를 쏨.,피읖
포경 수술(包莖 手術),포피(包皮)를 잘라 덮여 있는 음경의 귀두부를 드러내는 외과 수술.,피읖
포교(布敎),종교를 널리 알려 믿게 함.,피읖
포근하다,도톰한 물건이나 자리 따위가 보드랍고 따뜻하다.,피읖
