uvrh01_x,uvrh01_y,uvrh01_z,uvrh12_x,uvrh12_y,uvrh12_z,uvrh23_x,uvrh23_y,uvrh23_z,uvrh34_x,uvrh34_y,uvrh34_z,uvrh05_x,uvrh05_y,uvrh05_z,uvrh56_x,uvrh56_y,uvrh56_z,uvrh67_x,uvrh67_y,uvrh67_z,uvrh78_x,uvrh78_y,uvrh78_z,uvrh59_x,uvrh59_y,uvrh59_z,uvrh910_x,uvrh910_y,uvrh910_z,uvrh1011_x,uvrh1011_y,uvrh1011_z,uvrh1112_x,uvrh1112_y,uvrh1112_z,uvrh913_x,uvrh913_y,uvrh913_z,uvrh1314_x,uvrh1314_y,uvrh1314_z,uvrh1415_x,uvrh1415_y,uvrh1415_z,uvrh1516_x,uvrh1516_y,uvrh1516_z,uvrh1317_x,uvrh1317_y,uvrh1317_z,uvrh017_x,uvrh017_y,uvrh017_z,uvrh1718_x,uvrh1718_y,uvrh1718_z,uvrh1819_x,uvrh1819_y,uvrh1819_z,uvrh1920_x,uvrh1920_y,uvrh1920_z,answer
0.20678405214184067,-0.9758698005027885,-0.07013193456941054,0.5943405753535212,-0.7961231218262256,-0.11378600696970653,0.7958435258615303,-0.5938271543881507,-0.118331707735328,0.7352828632052013,-0.6630176030278709,-0.1405943425317594,0.18987623864926112,-0.9618688616472301,-0.19686367615654854,0.2806452065832017,-0.9497749125958705,-0.138440902284616,0.6026719253939982,-0.7942951717217291,-0.0766924410971504,0.7460702524548626,-0.6635400102234318,-0.055622236871827616,0.23344204388704376,0.966865004594744,-0.10332896513487959,0.9586171668790362,-0.21113730695835348,-0.19098210642671204,0.5254595142040729,0.8482708285412113,0.06579437953523554,0.24784372040772132,0.9660754460815933,0.07260663008782126,0.1719372110575156,0.9839447524506718,-0.04785728344305994,0.9862984815982189,0.11064444293128597,-0.12236466992344391,-0.3272294179197221,0.7688723672421336,0.5493233937667297,-0.8084531818548873,0.4455469538446801,0.38456646326536986,0.19974463060427522,0.9785194656754788,-0.05100723320213758,0.7499748626380583,-0.38987380672851046,-0.5343557992929855,0.9697175654842475,-0.23303728721290592,0.073085333410705,-0.5373713803972486,0.38507834337554625,0.7502977202371739,-0.8296091731000839,0.11292483341314113,0.5468058173673808,수화 데이터셋 녹화 테스트
-0.6723163601335402,-0.7306003419759357,-0.11922186125637237,-0.3815692090406055,-0.9155803755611883,-0.12695477383446496,-0.5074684176258938,-0.8320362453999918,-0.22403457646746452,-0.6560521177202108,-0.7079710064564206,-0.2614816874121583,-0.11550103392927506,-0.9909953785171798,-0.06773234765501616,-0.08112728753522983,-0.9603438742814625,-0.26675458074276176,-0.21092920576785348,-0.8801861256154057,-0.4251837889998675,-0.3066755918239361,-0.8433077834955982,-0.4413412100350245,0.7720092935812294,0.37474568669726305,-0.5133880802336649,-0.40242752716881036,-0.8517089388460776,-0.3356247441212953,-0.839609805343442,-0.2494626346776384,-0.4825181537215346,-0.8968293125095911,-0.1967928158685196,-0.39619410879783795,0.4724222345075948,0.8218729523240236,-0.3183427124673101,-0.5692224955602444,-0.7468337999623356,-0.343838662430486,-0.9052577148387171,-0.3760479216615838,-0.19772817285098018,-0.9138169227498675,-0.3877983105928867,-0.12062794865728983,0.27147299629823285,0.9322532822030626,-0.23917823919093625,0.14476886364730568,-0.9289683455316631,-0.34067548945944504,-0.26157321115764237,-0.900162064086997,-0.34826385626894546,-0.5350123916664098,-0.821548512480825,-0.19702736460687842,-0.5734468286157808,-0.8092537241465814,-0.12754271717896015,수화 데이터셋 녹화 테스트
-0.6723163601335402,-0.7306003419759357,-0.11922186125637237,-0.3815692090406055,-0.9155803755611883,-0.12695477383446496,-0.5074684176258938,-0.8320362453999918,-0.22403457646746452,-0.6560521177202108,-0.7079710064564206,-0.2614816874121583,-0.11550103392927506,-0.9909953785171798,-0.06773234765501616,-0.08112728753522983,-0.9603438742814625,-0.26675458074276176,-0.21092920576785348,-0.8801861256154057,-0.4251837889998675,-0.3066755918239361,-0.8433077834955982,-0.4413412100350245,0.7720092935812294,0.37474568669726305,-0.5133880802336649,-0.40242752716881036,-0.8517089388460776,-0.3356247441212953,-0.839609805343442,-0.2494626346776384,-0.4825181537215346,-0.8968293125095911,-0.1967928158685196,-0.39619410879783795,0.4724222345075948,0.8218729523240236,-0.3183427124673101,-0.5692224955602444,-0.7468337999623356,-0.343838662430486,-0.9052577148387171,-0.3760479216615838,-0.19772817285098018,-0.9138169227498675,-0.3877983105928867,-0.12062794865728983,0.27147299629823285,0.9322532822030626,-0.23917823919093625,0.14476886364730568,-0.9289683455316631,-0.34067548945944504,-0.26157321115764237,-0.900162064086997,-0.34826385626894546,-0.5350123916664098,-0.821548512480825,-0.19702736460687842,-0.5734468286157808,-0.8092537241465814,-0.12754271717896015,수화 데이터셋 녹화 테스트
-0.6865624276201227,-0.7183290331477333,-0.11240744244669265,-0.43830192796129014,-0.8950248602076916,-0.08259491240759508,-0.5989728782071485,-0.77716617616635,-0.1929876311974892,-0.6680601597245764,-0.7069866905807625,-0.2320892981816145,-0.20584746758091008,-0.9779377089813084,0.03556202248067176,0.04482469065934726,-0.9951194699541341,-0.08790897352089115,0.04331662585154493,-0.9793197771466421,-0.19762703260001768,-0.045411195158009995,-0.9767952438272715,-0.20930569746364394,0.9375412490661554,0.02303122263364556,-0.3471108887423046,-0.14194262337217653,-0.9683966255755887,-0.20508599962951557,-0.7757096158368677,-0.47334227332778217,-0.41739871128108,-0.9314894461577468,0.2534227384546828,-0.2609680580662384,0.8204554993344692,0.41076559713025607,-0.3976485858469146,-0.06610420286598842,-0.9825365400072731,-0.17393154375784878,-0.695511909476239,-0.675601484740649,-0.24459316751075993,-0.980711177998062,-0.1550043596564829,-0.11907658811511743,0.6474815181181868,0.6833054772121571,-0.3374334134421701,0.07468845755288954,-0.99167807217159,-0.1048629366478401,-0.03429620484604536,-0.9873964002308551,-0.15450604889229164,-0.552618921555688,-0.8226186622516886,-0.13383147631955164,-0.8865825710769139,-0.4583702948174545,-0.06219338784475888,수화 데이터셋 녹화 테스트
-0.6865624276201227,-0.7183290331477333,-0.11240744244669265,-0.43830192796129014,-0.8950248602076916,-0.08259491240759508,-0.5989728782071485,-0.77716617616635,-0.1929876311974892,-0.6680601597245764,-0.7069866905807625,-0.2320892981816145,-0.20584746758091008,-0.9779377089813084,0.03556202248067176,0.04482469065934726,-0.9951194699541341,-0.08790897352089115,0.04331662585154493,-0.9793197771466421,-0.19762703260001768,-0.045411195158009995,-0.9767952438272715,-0.20930569746364394,0.9375412490661554,0.02303122263364556,-0.3471108887423046,-0.14194262337217653,-0.9683966255755887,-0.20508599962951557,-0.7757096158368677,-0.47334227332778217,-0.41739871128108,-0.9314894461577468,0.2534227384546828,-0.2609680580662384,0.8204554993344692,0.41076559713025607,-0.3976485858469146,-0.06610420286598842,-0.9825365400072731,-0.17393154375784878,-0.695511909476239,-0.675601484740649,-0.24459316751075993,-0.980711177998062,-0.1550043596564829,-0.11907658811511743,0.6474815181181868,0.6833054772121571,-0.3374334134421701,0.07468845755288954,-0.99167807217159,-0.1048629366478401,-0.03429620484604536,-0.9873964002308551,-0.15450604889229164,-0.552618921555688,-0.8226186622516886,-0.13383147631955164,-0.8865825710769139,-0.4583702948174545,-0.06219338784475888,수화 데이터셋 녹화 테스트
-0.7391967598116455,-0.656363951269278,-0.15091227172813132,-0.46477669854742315,-0.8814565226174458,-0.08376765021485333,-0.5387762496104335,-0.82509191114596,-0.1701278666686413,-0.6315685769295177,-0.7461438758830808,-0.21069041059667984,-0.2233647757077348,-0.9744160478899028,0.024930755858099802,-0.0246465185871178,-0.9919513277623103,-0.12419787627864048,-0.11293017627108516,-0.9657651151460945,-0.23354767747556912,-0.1029640306905261,-0.9696241704155618,-0.22187243301026346,0.9553245170320108,0.004244362223073789,-0.2955284293378127,-0.054996983637671686,-0.970635358598881,-0.23418439834536245,-0.8324013372172243,0.008670267896476493,-0.554105441458194,-0.5633796335993004,0.8048564286530587,-0.18657308943511067,0.8376493030370838,0.40209474352667257,-0.3696802163352902,-0.005100149845356987,-0.9800018981579599,-0.1989227691300077,-0.8981323416959337,-0.21711079638760025,-0.3823888059184271,-0.7545245531334693,0.6468275749837548,-0.11093595882027442,0.6878245284340762,0.6597236847856797,-0.30275745707950125,0.0721214964444736,-0.9918410324564729,-0.10511829567818995,0.018781298561132056,-0.9823261702340168,-0.18623253769877895,-0.7643529623518415,-0.5827691819269822,-0.27594316360460963,-0.9615924975394866,0.23568324150114361,-0.1406885864286296,수화 데이터셋 녹화 테스트
-0.7391967598116455,-0.656363951269278,-0.15091227172813132,-0.46477669854742315,-0.8814565226174458,-0.08376765021485333,-0.5387762496104335,-0.82509191114596,-0.1701278666686413,-0.6315685769295177,-0.7461438758830808,-0.21069041059667984,-0.2233647757077348,-0.9744160478899028,0.024930755858099802,-0.0246465185871178,-0.9919513277623103,-0.12419787627864048,-0.11293017627108516,-0.9657651151460945,-0.23354767747556912,-0.1029640306905261,-0.9696241704155618,-0.22187243301026346,0.9553245170320108,0.004244362223073789,-0.2955284293378127,-0.054996983637671686,-0.970635358598881,-0.23418439834536245,-0.8324013372172243,0.008670267896476493,-0.554105441458194,-0.5633796335993004,0.8048564286530587,-0.18657308943511067,0.8376493030370838,0.40209474352667257,-0.3696802163352902,-0.005100149845356987,-0.9800018981579599,-0.1989227691300077,-0.8981323416959337,-0.21711079638760025,-0.3823888059184271,-0.7545245531334693,0.6468275749837548,-0.11093595882027442,0.6878245284340762,0.6597236847856797,-0.30275745707950125,0.0721214964444736,-0.9918410324564729,-0.10511829567818995,0.018781298561132056,-0.9823261702340168,-0.18623253769877895,-0.7643529623518415,-0.5827691819269822,-0.27594316360460963,-0.9615924975394866,0.23568324150114361,-0.1406885864286296,수화 데이터셋 녹화 테스트
-0.7380671289159804,-0.6728859737989586,-0.049813446762382925,-0.5428186156289541,-0.8386169142618762,-0.04549309442711639,-0.6270740256753887,-0.7663435682861498,-0.13962700909821488,-0.7198080927771842,-0.6735236896151596,-0.16805400649688443,-0.28603111239050494,-0.9573578629473096,0.040646340519295714,-0.21500681597489657,-0.9702386925022,-0.11139546066136866,-0.2891978618711597,-0.9365682318613858,-0.19800137311944896,-0.33310024800582394,-0.92289675523395,-0.19314710444918687,0.8170235132540841,-0.3946538275677149,-0.4203818920649485,-0.4899364171442122,-0.844448223514207,-0.2164936603219418,-0.906248917563081,0.34387891108003316,-0.24588654686695413,-0.6187631665206408,0.7780484759657214,-0.10850213271990651,0.6803699553748476,0.5043225560060367,-0.5317475748198255,-0.6186913554213439,-0.7516599904994012,-0.2285350419724304,-0.8263626732056584,0.547597401562072,-0.1313842385328817,-0.503660569436901,0.8637344439162306,-0.016995328393903008,0.3466924750600375,0.8587124623175627,-0.377382080652028,-0.1382172360439008,-0.984919945077248,-0.10406102752430964,-0.8497254176557838,-0.4705218260355566,-0.23785694401019525,-0.8432169051190119,0.5308216771862445,-0.08493290263906837,-0.5112084647000876,0.8594398511976046,0.0053896003950656066,수화 데이터셋 녹화 테스트
-0.7380671289159804,-0.6728859737989586,-0.049813446762382925,-0.5428186156289541,-0.8386169142618762,-0.04549309442711639,-0.6270740256753887,-0.7663435682861498,-0.13962700909821488,-0.7198080927771842,-0.6735236896151596,-0.16805400649688443,-0.28603111239050494,-0.9573578629473096,0.040646340519295714,-0.21500681597489657,-0.9702386925022,-0.11139546066136866,-0.2891978618711597,-0.9365682318613858,-0.19800137311944896,-0.33310024800582394,-0.92289675523395,-0.19314710444918687,0.8170235132540841,-0.3946538275677149,-0.4203818920649485,-0.4899364171442122,-0.844448223514207,-0.2164936603219418,-0.906248917563081,0.34387891108003316,-0.24588654686695413,-0.6187631665206408,0.7780484759657214,-0.10850213271990651,0.6803699553748476,0.5043225560060367,-0.5317475748198255,-0.6186913554213439,-0.7516599904994012,-0.2285350419724304,-0.8263626732056584,0.547597401562072,-0.1313842385328817,-0.503660569436901,0.8637344439162306,-0.016995328393903008,0.3466924750600375,0.8587124623175627,-0.377382080652028,-0.1382172360439008,-0.984919945077248,-0.10406102752430964,-0.8497254176557838,-0.4705218260355566,-0.23785694401019525,-0.8432169051190119,0.5308216771862445,-0.08493290263906837,-0.5112084647000876,0.8594398511976046,0.0053896003950656066,수화 데이터셋 녹화 테스트
-0.24525497988107853,-0.9691031496204792,0.02625033788733038,-0.371320592437846,-0.9270526450213935,-0.05190771609736935,-0.3438808825121829,-0.9334751408275264,-0.10183368843203155,0.00600447055173763,-0.9890913103871795,-0.14718126935845344,-0.4321480571698502,-0.8989261703427877,-0.07197080628403042,-0.5602802565965187,-0.8153921131014857,-0.1456768202564607,-0.47090558015611467,-0.8744673048590581,-0.11642537227927655,-0.5118215812902784,-0.8527267692007588,-0.1043825944013397,-0.1669691376865735,0.9577706033641291,-0.23408711709898572,-0.9732205937330692,0.06624109099440012,-0.22012222467920786,-0.9808806331048918,0.14126714565256215,-0.13385356610462193,-0.9957655165973427,0.013322351326953119,-0.09095906172970539,-0.030623492620993068,0.9905720296530544,-0.13352623625610185,-0.7298995655285694,0.6624348598119038,-0.16860213743363092,0.7733079493390601,0.6181466685555242,0.14103017990034822,0.9276773611954299,-0.32536336132414595,0.1831758625838486,0.021172505221880997,0.9926752317135388,-0.11894372352125805,-0.8200077633050572,-0.4865703753982599,-0.30139100501546784,-0.6595673208770612,0.7433839936339068,-0.1111358953712044,0.8455230818009922,0.4798752408595966,0.23411636284483953,0.8275501469538532,-0.5125730360149896,0.22897518867124508,수화 데이터셋 녹화 테스트
